case,policy,request_scale,layer,layer_start_us,layer_end_us,layer_span_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,gpu-only,4096,0,0.0,20.237179456000003,20.237179456000003,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,1,20.237179456000003,40.474358912,20.237179455999996,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,2,40.474358912,60.71153836799999,20.237179455999993,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,3,60.71153836799999,80.948717824,20.237179456000007,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,4,80.948717824,101.18589728,20.237179456000007,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,5,101.18589728,121.42307673600001,20.237179456000007,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,6,121.42307673600001,141.66025619200005,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,7,141.66025619200005,161.89743564800006,20.237179456000007,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,8,161.89743564800006,182.1346151040001,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,9,182.1346151040001,202.37179456000013,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,10,202.37179456000013,222.60897401600016,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,11,222.60897401600016,242.8461534720002,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,12,242.8461534720002,263.08333292800023,20.237179456000035,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,13,263.08333292800023,283.3205123840003,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,14,283.3205123840003,303.5576918400004,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,15,303.5576918400004,323.7948712960005,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,16,323.7948712960005,344.0320507520006,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,17,344.0320507520006,364.2692302080007,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,18,364.2692302080007,384.5064096640008,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,19,384.5064096640008,404.7435891200009,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,4096,20,404.7435891200009,424.98076857600097,20.237179456000092,1.0163840000000022,3.309307456,0.0,298.850136,0.7045370370370371
