step,layer,start_us,end_us,latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,estimated_policy_objective_us
0,0,0.0,178.822211456,178.822211456,pim,8,0,64,0,136.353672
0,1,178.822211456,357.644422912,178.822211456,pim,8,0,64,0,136.353672
0,2,357.644422912,536.466634368,178.822211456,pim,8,0,64,0,136.353672
0,3,536.466634368,715.288845824,178.822211456,pim,8,0,64,0,136.353672
0,4,715.288845824,894.11105728,178.822211456,pim,8,0,64,0,136.353672
0,5,894.11105728,1072.933268736,178.822211456,pim,8,0,64,0,136.353672
0,6,1072.933268736,1251.755480192,178.822211456,pim,8,0,64,0,136.353672
0,7,1251.755480192,1430.577691648,178.822211456,pim,8,0,64,0,136.353672
0,8,1430.577691648,1609.399903104,178.822211456,pim,8,0,64,0,136.353672
0,9,1609.399903104,1788.22211456,178.822211456,pim,8,0,64,0,136.353672
0,10,1788.22211456,1967.044326016,178.822211456,pim,8,0,64,0,136.353672
0,11,1967.044326016,2145.850175168,178.805849152,pim,8,1,63,1,137.679672
0,12,2145.850175168,2324.672386624,178.822211456,pim,8,0,64,0,136.353672
0,13,2324.672386624,2506.50976608,181.837379456,pim,9,0,64,0,136.353672
0,14,2506.50976608,2685.315615232,178.805849152,pim,8,1,63,1,137.679672
0,15,2685.315615232,2864.137826688,178.822211456,pim,8,0,64,0,136.353672
0,16,2864.137826688,3039.936275712,175.798449024,pim,7,3,56,8,146.857776
0,17,3039.936275712,3221.773655168,181.837379456,pim,9,0,64,0,136.353672
0,18,3221.773655168,3400.595866624,178.822211456,pim,8,0,64,0,136.353672
0,19,3400.595866624,3579.401715776,178.805849152,pim,8,1,63,1,137.679672
0,20,3579.401715776,3758.223927232,178.822211456,pim,8,0,64,0,136.353672
0,21,3758.223927232,3936.992371776,178.768444544,pim,8,1,61,3,140.302344
0,22,3936.992371776,4115.814583232,178.822211456,pim,8,0,64,0,136.353672
0,23,4115.814583232,4294.636794688,178.822211456,pim,8,0,64,0,136.353672
0,24,4294.636794688,4473.459006144,178.822211456,pim,8,0,64,0,136.353672
0,25,4473.459006144,4652.232892992,178.773886848,pim,8,1,62,2,138.990384
0,26,4652.232892992,4834.070272448,181.837379456,pim,9,0,64,0,136.353672
0,27,4834.070272448,5012.808626688,178.73835424,pim,8,2,60,4,141.613056
0,28,5012.808626688,5191.510962624,178.702335936,pim,8,4,59,5,142.924704
0,29,5191.510962624,5370.284849472,178.773886848,pim,8,1,62,2,138.990384
0,30,5370.284849472,5549.107060928,178.822211456,pim,8,0,64,0,136.353672
0,31,5549.107060928,5727.809396864,178.702335936,pim,8,3,59,5,142.924704
0,32,5727.809396864,5906.547751104,178.73835424,pim,8,2,60,4,141.613056
0,33,5906.547751104,6088.38513056,181.837379456,pim,9,0,64,0,136.353672
0,34,6088.38513056,6267.207342016,178.822211456,pim,8,0,64,0,136.353672
0,35,6267.207342016,6446.029553472,178.822211456,pim,8,0,64,0,136.353672
0,36,6446.029553472,6624.851764928,178.822211456,pim,8,0,64,0,136.353672
0,37,6624.851764928,6803.673976384,178.822211456,pim,8,0,64,0,136.353672
0,38,6803.673976384,6982.479825536,178.805849152,pim,8,1,63,1,137.679672
0,39,6982.479825536,7161.253712384,178.773886848,pim,8,1,62,2,138.990384
0,40,7161.253712384,7340.027599232,178.773886848,pim,8,1,62,2,138.990384
0,41,7340.027599232,7518.80148608,178.773886848,pim,8,1,62,2,138.990384
0,42,7518.80148608,7697.623697536,178.822211456,pim,8,0,64,0,136.353672
0,43,7697.623697536,7876.362051776,178.73835424,pim,8,2,60,4,141.613056
0,44,7876.362051776,8055.13049632,178.768444544,pim,8,2,61,3,140.302344
0,45,8055.13049632,8236.967875776,181.837379456,pim,9,0,64,0,136.353672
0,46,8236.967875776,8415.790087232,178.822211456,pim,8,0,64,0,136.353672
0,47,8415.790087232,8594.612298688,178.822211456,pim,8,0,64,0,136.353672
1,0,8594.612298688,8773.434510144,178.822211456,pim,8,0,64,0,136.353672
1,1,8773.434510144,8952.2567216,178.822211456,pim,8,0,64,0,136.353672
1,2,8952.2567216,9131.078933056,178.822211456,pim,8,0,64,0,136.353672
1,3,9131.078933056,9309.901144512,178.822211456,pim,8,0,64,0,136.353672
1,4,9309.901144512,9488.723355968,178.822211456,pim,8,0,64,0,136.353672
1,5,9488.723355968,9667.545567424,178.822211456,pim,8,0,64,0,136.353672
1,6,9667.545567424,9846.36777888,178.822211456,pim,8,0,64,0,136.353672
1,7,9846.36777888,10025.189990336,178.822211456,pim,8,0,64,0,136.353672
1,8,10025.189990336,10204.012201792,178.822211456,pim,8,0,64,0,136.353672
1,9,10204.012201792,10382.78608864,178.773886848,pim,8,1,62,2,138.990384
1,10,10382.78608864,10561.559975488,178.773886848,pim,8,1,62,2,138.990384
1,11,10561.559975488,10740.382186944,178.822211456,pim,8,0,64,0,136.353672
1,12,10740.382186944,10919.2043984,178.822211456,pim,8,0,64,0,136.353672
1,13,10919.2043984,11097.978285248,178.773886848,pim,8,1,62,2,138.990384
1,14,11097.978285248,11276.7841344,178.805849152,pim,8,1,63,1,137.679672
1,15,11276.7841344,11455.558021248,178.773886848,pim,8,1,62,2,138.990384
1,16,11455.558021248,11634.3638704,178.805849152,pim,8,1,63,1,137.679672
1,17,11634.3638704,11813.137757248,178.773886848,pim,8,1,62,2,138.990384
1,18,11813.137757248,11991.959968704,178.822211456,pim,8,0,64,0,136.353672
1,19,11991.959968704,12170.698322944,178.73835424,pim,8,2,60,4,141.613056
1,20,12170.698322944,12349.472209792,178.773886848,pim,8,1,62,2,138.990384
1,21,12349.472209792,12528.278058944,178.805849152,pim,8,1,63,1,137.679672
1,22,12528.278058944,12707.051945792,178.773886848,pim,8,1,62,2,138.990384
1,23,12707.051945792,12885.820390336,178.768444544,pim,8,1,61,3,140.302344
1,24,12885.820390336,13064.642601792,178.822211456,pim,8,0,64,0,136.353672
1,25,13064.642601792,13243.464813248,178.822211456,pim,8,0,64,0,136.353672
1,26,13243.464813248,13422.287024704,178.822211456,pim,8,0,64,0,136.353672
1,27,13422.287024704,13601.10923616,178.822211456,pim,8,0,64,0,136.353672
1,28,13601.10923616,13779.8475904,178.73835424,pim,8,2,60,4,141.613056
1,29,13779.8475904,13958.669801856,178.822211456,pim,8,0,64,0,136.353672
1,30,13958.669801856,14140.507181312,181.837379456,pim,9,0,64,0,136.353672
1,31,14140.507181312,14322.29623616,181.789054848,pim,9,2,62,2,138.990384
1,32,14322.29623616,14501.102085312,178.805849152,pim,8,1,63,1,137.679672
1,33,14501.102085312,14679.907934464,178.805849152,pim,8,1,63,1,137.679672
1,34,14679.907934464,14858.73014592,178.822211456,pim,8,0,64,0,136.353672
1,35,14858.73014592,15037.46850016,178.73835424,pim,8,2,60,4,141.613056
1,36,15037.46850016,15216.274349312,178.805849152,pim,8,1,63,1,137.679672
1,37,15216.274349312,15395.096560768,178.822211456,pim,8,0,64,0,136.353672
1,38,15395.096560768,15573.870447616,178.773886848,pim,8,2,62,2,138.990384
1,39,15573.870447616,15752.676296768,178.805849152,pim,8,1,63,1,137.679672
1,40,15752.676296768,15931.498508224,178.822211456,pim,8,0,64,0,136.353672
1,41,15931.498508224,16110.304357376,178.805849152,pim,8,1,63,1,137.679672
1,42,16110.304357376,16289.110206528,178.805849152,pim,8,1,63,1,137.679672
1,43,16289.110206528,16467.91605568,178.805849152,pim,8,1,63,1,137.679672
1,44,16467.91605568,16646.721904832,178.805849152,pim,8,1,63,1,137.679672
1,45,16646.721904832,16825.49579168,178.773886848,pim,8,2,62,2,138.990384
1,46,16825.49579168,17004.264236224,178.768444544,pim,8,1,61,3,140.302344
1,47,17004.264236224,17182.96657216,178.702335936,pim,8,2,59,5,142.924704
2,0,17182.96657216,17361.813431616,178.846859456,pim,8,0,64,0,136.37832
2,1,17361.813431616,17540.660291072,178.846859456,pim,8,0,64,0,136.37832
2,2,17540.660291072,17719.507150528,178.846859456,pim,8,0,64,0,136.37832
2,3,17719.507150528,17898.354009984,178.846859456,pim,8,0,64,0,136.37832
2,4,17898.354009984,18077.20086944,178.846859456,pim,8,0,64,0,136.37832
2,5,18077.20086944,18256.047728896,178.846859456,pim,8,0,64,0,136.37832
2,6,18256.047728896,18434.84082144,178.793092544,pim,8,1,61,3,140.326992
2,7,18434.84082144,18613.687680896,178.846859456,pim,8,0,64,0,136.37832
2,8,18613.687680896,18792.534540352,178.846859456,pim,8,0,64,0,136.37832
2,9,18792.534540352,18971.381399808,178.846859456,pim,8,0,64,0,136.37832
2,10,18971.381399808,19150.228259264,178.846859456,pim,8,0,64,0,136.37832
2,11,19150.228259264,19329.07511872,178.846859456,pim,8,0,64,0,136.37832
2,12,19329.07511872,19507.873653568,178.798534848,pim,8,1,62,2,139.015032
2,13,19507.873653568,19686.720513024,178.846859456,pim,8,0,64,0,136.37832
2,14,19686.720513024,19865.56737248,178.846859456,pim,8,0,64,0,136.37832
2,15,19865.56737248,20044.414231936,178.846859456,pim,8,0,64,0,136.37832
2,16,20044.414231936,20223.261091392,178.846859456,pim,8,0,64,0,136.37832
2,17,20223.261091392,20402.107950848,178.846859456,pim,8,0,64,0,136.37832
2,18,20402.107950848,20580.954810304,178.846859456,pim,8,0,64,0,136.37832
2,19,20580.954810304,20759.80166976,178.846859456,pim,8,0,64,0,136.37832
2,20,20759.80166976,20938.648529216,178.846859456,pim,8,0,64,0,136.37832
2,21,20938.648529216,21117.495388672,178.846859456,pim,8,0,64,0,136.37832
2,22,21117.495388672,21296.342248128,178.846859456,pim,8,0,64,0,136.37832
2,23,21296.342248128,21475.189107584,178.846859456,pim,8,0,64,0,136.37832
2,24,21475.189107584,21654.03596704,178.846859456,pim,8,0,64,0,136.37832
2,25,21654.03596704,21832.834501888,178.798534848,pim,8,1,62,2,139.015032
2,26,21832.834501888,22011.681361344,178.846859456,pim,8,0,64,0,136.37832
2,27,22011.681361344,22190.479896192,178.798534848,pim,8,1,62,2,139.015032
2,28,22190.479896192,22369.310393344,178.830497152,pim,8,1,63,1,137.70432
2,29,22369.310393344,22548.1572528,178.846859456,pim,8,0,64,0,136.37832
2,30,22548.1572528,22726.884236736,178.726983936,pim,8,2,59,5,142.949352
2,31,22726.884236736,22905.67732928,178.793092544,pim,8,1,61,3,140.326992
2,32,22905.67732928,23087.539356736,181.862027456,pim,9,0,64,0,136.37832
2,33,23087.539356736,23269.401384192,181.862027456,pim,9,0,64,0,136.37832
2,34,23269.401384192,23448.19991904,178.798534848,pim,8,1,62,2,139.015032
2,35,23448.19991904,23626.998453888,178.798534848,pim,8,2,62,2,139.015032
2,36,23626.998453888,23805.791546432,178.793092544,pim,8,1,61,3,140.326992
2,37,23805.791546432,23984.638405888,178.846859456,pim,8,0,64,0,136.37832
2,38,23984.638405888,24163.401408128,178.76300224,pim,8,2,60,4,141.637704
2,39,24163.401408128,24342.23190528,178.830497152,pim,8,1,63,1,137.70432
2,40,24342.23190528,24521.030440128,178.798534848,pim,8,1,62,2,139.015032
2,41,24521.030440128,24699.877299584,178.846859456,pim,8,0,64,0,136.37832
2,42,24699.877299584,24881.73932704,181.862027456,pim,9,0,64,0,136.37832
2,43,24881.73932704,25060.532419584,178.793092544,pim,8,1,61,3,140.326992
2,44,25060.532419584,25239.37927904,178.846859456,pim,8,0,64,0,136.37832
2,45,25239.37927904,25418.226138496,178.846859456,pim,8,0,64,0,136.37832
2,46,25418.226138496,25597.072997952,178.846859456,pim,8,0,64,0,136.37832
2,47,25597.072997952,25775.919857408,178.846859456,pim,8,0,64,0,136.37832
3,0,25775.919857408,25954.791364865,178.871507456,pim,8,0,64,0,136.402968
3,1,25954.791364865,26133.662872321,178.871507456,pim,8,0,64,0,136.402968
3,2,26133.662872321,26312.534379777,178.871507456,pim,8,0,64,0,136.402968
3,3,26312.534379777,26491.405887233,178.871507456,pim,8,0,64,0,136.402968
3,4,26491.405887233,26670.277394689,178.871507456,pim,8,0,64,0,136.402968
3,5,26670.277394689,26849.148902145,178.871507456,pim,8,0,64,0,136.402968
3,6,26849.148902145,27028.020409601,178.871507456,pim,8,0,64,0,136.402968
3,7,27028.020409601,27206.843592449,178.823182848,pim,8,1,62,2,139.03968
3,8,27206.843592449,27385.666775297,178.823182848,pim,8,1,62,2,139.03968
3,9,27385.666775297,27564.538282753,178.871507456,pim,8,0,64,0,136.402968
3,10,27564.538282753,27743.409790209,178.871507456,pim,8,0,64,0,136.402968
3,11,27743.409790209,27922.264935361,178.855145152,pim,8,1,63,1,137.728968
3,12,27922.264935361,28101.120080513,178.855145152,pim,8,1,63,1,137.728968
3,13,28101.120080513,28279.975225665,178.855145152,pim,8,1,63,1,137.728968
3,14,28279.975225665,28458.846733121,178.871507456,pim,8,0,64,0,136.402968
3,15,28458.846733121,28637.718240577,178.871507456,pim,8,0,64,0,136.402968
3,16,28637.718240577,28816.589748033,178.871507456,pim,8,0,64,0,136.402968
3,17,28816.589748033,28995.407488577,178.817740544,pim,8,1,61,3,140.35164
3,18,28995.407488577,29174.230671425,178.823182848,pim,8,1,62,2,139.03968
3,19,29174.230671425,29353.102178881,178.871507456,pim,8,0,64,0,136.402968
3,20,29353.102178881,29534.988854337,181.886675456,pim,9,0,64,0,136.402968
3,21,29534.988854337,29713.860361793,178.871507456,pim,8,0,64,0,136.402968
3,22,29713.860361793,29892.678102337,178.817740544,pim,8,1,61,3,140.35164
3,23,29892.678102337,30071.465752577,178.78765024,pim,8,3,60,4,141.662352
3,24,30071.465752577,30250.337260033,178.871507456,pim,8,0,64,0,136.402968
3,25,30250.337260033,30429.208767489,178.871507456,pim,8,0,64,0,136.402968
3,26,30429.208767489,30608.063912641,178.855145152,pim,8,1,63,1,137.728968
3,27,30608.063912641,30786.919057793,178.855145152,pim,8,1,63,1,137.728968
3,28,30786.919057793,30965.790565249,178.871507456,pim,8,0,64,0,136.402968
3,29,30965.790565249,31144.645710401,178.855145152,pim,8,1,63,1,137.728968
3,30,31144.645710401,31323.500855553,178.855145152,pim,8,1,63,1,137.728968
3,31,31323.500855553,31502.372363009,178.871507456,pim,8,0,64,0,136.402968
3,32,31502.372363009,31684.259038465,181.886675456,pim,9,0,64,0,136.402968
3,33,31684.259038465,31863.114183617,178.855145152,pim,8,1,63,1,137.728968
3,34,31863.114183617,32041.985691073,178.871507456,pim,8,0,64,0,136.402968
3,35,32041.985691073,32220.803431617,178.817740544,pim,8,1,61,3,140.35164
3,36,32220.803431617,32399.674939073,178.871507456,pim,8,0,64,0,136.402968
3,37,32399.674939073,32578.498121921,178.823182848,pim,8,1,62,2,139.03968
3,38,32578.498121921,32757.369629377,178.871507456,pim,8,0,64,0,136.402968
3,39,32757.369629377,32936.187369921,178.817740544,pim,8,1,61,3,140.35164
3,40,32936.187369921,33115.010552769,178.823182848,pim,8,1,62,2,139.03968
3,41,33115.010552769,33293.882060225,178.871507456,pim,8,0,64,0,136.402968
3,42,33293.882060225,33472.669710465,178.78765024,pim,8,2,60,4,141.662352
3,43,33472.669710465,33651.541217921,178.871507456,pim,8,0,64,0,136.402968
3,44,33651.541217921,33830.412725377,178.871507456,pim,8,0,64,0,136.402968
3,45,33830.412725377,34009.284232833,178.871507456,pim,8,0,64,0,136.402968
3,46,34009.284232833,34188.155740289,178.871507456,pim,8,0,64,0,136.402968
3,47,34188.155740289,34366.978923137,178.823182848,pim,8,1,62,2,139.03968
4,0,34366.978923137,34545.850430593,178.871507456,pim,8,0,64,0,136.402968
4,1,34545.850430593,34724.673613441,178.823182848,pim,8,1,62,2,139.03968
4,2,34724.673613441,34903.545120897,178.871507456,pim,8,0,64,0,136.402968
4,3,34903.545120897,35082.416628353,178.871507456,pim,8,0,64,0,136.402968
4,4,35082.416628353,35264.303303809,181.886675456,pim,9,0,64,0,136.402968
4,5,35264.303303809,35443.174811265,178.871507456,pim,8,0,64,0,136.402968
4,6,35443.174811265,35622.046318721,178.871507456,pim,8,0,64,0,136.402968
4,7,35622.046318721,35803.932994177,181.886675456,pim,9,0,64,0,136.402968
4,8,35803.932994177,35985.699794113,181.766799936,pim,9,2,59,5,142.974
4,9,35985.699794113,36167.586469569,181.886675456,pim,9,0,64,0,136.402968
4,10,36167.586469569,36349.424820417,181.838350848,pim,9,1,62,2,139.03968
4,11,36349.424820417,36528.296327873,178.871507456,pim,8,0,64,0,136.402968
4,12,36528.296327873,36710.183003329,181.886675456,pim,9,0,64,0,136.402968
4,13,36710.183003329,36892.015911873,181.832908544,pim,9,1,61,3,140.35164
4,14,36892.015911873,37073.902587329,181.886675456,pim,9,0,64,0,136.402968
