layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
41,6,7,1,0.545454545,0.454545455,0.34375,0.490909091,1.0,False
42,0,1,1,0.545454545,0.454545455,0.359375,0.472727273,1.0,False
42,1,2,1,0.2,0.230769231,0.625,0.230769231,1.0,False
42,2,3,1,0.117647059,0.142857143,0.8125,0.104761905,1.0,False
42,3,4,1,0.368421053,0.6,0.328125,0.493550894,1.0,False
42,4,5,1,0.315789474,0.230769231,0.609375,0.217216117,1.0,False
42,5,6,1,0.636363636,0.6,0.21875,0.648484848,1.0,False
42,6,7,1,0.2,0.230769231,0.625,0.230769231,1.0,False
43,0,1,1,0.1875,0.142857143,0.734375,0.153846154,1.0,False
43,1,2,1,0.285714286,0.333333333,0.53125,0.307692308,1.0,False
43,2,3,1,0.133333333,0.142857143,0.765625,0.133333333,1.0,False
43,3,4,1,0.263157895,0.333333333,0.5625,0.294538795,1.0,False
43,4,5,1,0.368421053,0.333333333,0.5,0.344488844,1.0,False
43,5,6,1,0.1875,0.142857143,0.734375,0.156776557,1.0,False
43,6,7,1,0.1875,0.230769231,0.65625,0.208791209,1.0,False
44,0,1,1,0.1875,0.142857143,0.734375,0.142857143,1.0,False
44,1,2,1,0.416666667,0.333333333,0.484375,0.348484848,1.0,False
44,2,3,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
44,3,4,1,0.5,0.454545455,0.390625,0.439393939,1.0,False
44,4,5,1,0.294117647,0.333333333,0.484375,0.337995338,1.0,False
44,5,6,1,0.384615385,0.333333333,0.484375,0.333333333,1.0,False
44,6,7,1,0.285714286,0.230769231,0.609375,0.243589744,1.0,False
45,0,1,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
45,1,2,1,0.2,0.230769231,0.625,0.230769231,1.0,False
45,2,3,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
45,3,4,1,0.533333333,0.6,0.34375,0.493939394,1.0,False
45,4,5,1,0.15,0.066666667,0.859375,0.078571429,1.0,False
45,5,6,1,0.133333333,0.142857143,0.765625,0.133333333,1.0,False
45,6,7,1,0.25,0.230769231,0.625,0.232600733,1.0,False
46,0,1,1,0.133333333,0.142857143,0.75,0.142857143,1.0,False
46,1,2,1,0.416666667,0.333333333,0.484375,0.348484848,1.0,False
46,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
46,3,4,1,0.461538462,0.6,0.390625,0.445454545,1.0,False
46,4,5,1,0.176470588,0.142857143,0.765625,0.137454212,1.0,False
46,5,6,1,0.2,0.230769231,0.625,0.230769231,1.0,False
46,6,7,1,0.214285714,0.142857143,0.734375,0.153846154,1.0,False
47,0,1,1,0.2,0.230769231,0.625,0.230769231,1.0,False
47,1,2,1,0.285714286,0.230769231,0.578125,0.269230769,1.0,False
47,2,3,1,0.0625,0.066666667,0.875,0.066666667,1.0,False
47,3,4,1,0.384615385,0.454545455,0.375,0.454545455,1.0,False
47,4,5,1,0.0625,0.066666667,0.875,0.066666667,1.0,False
47,5,6,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
47,6,7,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
